epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9072,2.6794,0,0.55109,4.06363,1.85682,0.01762,0.12121,0.01634,0.00436,0,0,0,0,3.34229,0,0.66539,3.95766,1.95318,4e-05,4e-05,4e-05
2,38.4851,1.84408,0,0.49979,2.3009,1.41232,0.10773,0.31818,0.06159,0.02012,0,0,0,0,2.42886,0,0.66012,2.9456,1.48672,9.91e-05,9.91e-05,9.91e-05
3,57.2453,1.13608,0,0.33989,1.20705,1.01818,0.28304,0.24242,0.22457,0.1266,0,0,0,0,1.57346,0,0.6452,2.86204,1.166,0.00015712,0.00015712,0.00015712
4,75.9204,0.88974,0,0.13882,0.78212,0.894,0.26797,0.22727,0.23015,0.16091,0,0,0,0,1.27173,0,0.61624,3.25283,1.06675,0.00021406,0.00021406,0.00021406
5,94.4728,0.74438,0,0.04805,0.65692,0.84408,0.55382,0.4697,0.50066,0.37793,0,0,0,0,0.99433,0,0.51994,1.9781,0.92638,0.00026992,0.00026992,0.00026992
6,113.05,0.70164,0,0.02921,0.5602,0.84525,0.67577,0.60008,0.56836,0.45518,0,0,0,0,0.82271,0,0.4558,1.84831,0.89254,0.0003247,0.0003247,0.0003247
7,131.883,0.72506,0,0.01932,0.52831,0.83246,0.75857,0.78788,0.79912,0.62681,0,0,0,0,0.81833,0,0.31159,2.01197,0.86508,0.0003784,0.0003784,0.0003784
8,150.462,0.72851,0,0.01385,0.60356,0.8224,0.50859,0.81818,0.83671,0.66553,0,0,0,0,0.80867,0,0.24059,2.79204,0.8585,0.00043102,0.00043102,0.00043102
9,169.248,0.69898,0,0.01139,0.54933,0.83442,0.78043,0.87879,0.88267,0.70535,0,0,0,0,0.83963,0,0.15677,1.80267,0.865,0.00048256,0.00048256,0.00048256
10,188.007,0.69756,0,0.01022,0.65526,0.82215,0.73005,0.89394,0.91458,0.73905,0,0,0,0,0.77792,0,0.11476,2.14699,0.85118,0.00053302,0.00053302,0.00053302
